Committee ID,Committee Name,Org type,Smaller Categories,Larger Categories,source,Connected Organization,country of origin
C00100305,"PETER PAN SEAFOODS, INC. POLITICAL ACTION COMMITTEE  (1220 ASSOCIATES)",C,,Food & Beverage,https://www.ppsf.com/our-products,"PETER PAN SEAFOODS, INC.",
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",C,,Defense,https://finance.yahoo.com/quote/LHX/profile?p=LHX,"L3HARRIS TECHNOLOGIES, INC.",
C00100693,"CBOE GLOBAL MARKETS, INC. PAC (CBOE PAC)",C,,Wall Street,https://finance.yahoo.com/quote/CBOE/profile?p=CBOE,"CBOE GLOBAL MARKETS, INC.",
C00101485,ECOLAB INC. POLITICAL ACTION COMMITTEE,C,,Chemicals,https://finance.yahoo.com/quote/ECL/profile?p=ECL,ECOLAB INC.,
C00101592,PUGET SOUND ENERGY INC. PAC FOR GOOD GOVERNMENT,W,Wind/Solar/Hydro,Energy,https://www.pse.com/,PUGET SOUND ENERGY INC.,
C00101766,"UNITED AIRLINES, INC. POLITICAL ACTION COMMITTEE (UAPAC)",C,Airline,Travel & Leisure,https://finance.yahoo.com/quote/UAL/profile?p=UAL,"UNITED AIRLINES, INC.",
C00102152,WASHINGTON GAS LIGHT COMPANY PAC,C,Oil/Gas,Fossil Fuels,,WASHINGTON GAS LIGHT COMPANY,
C00102160,EVERSOURCE ENERGY POLITICAL ACTION COMMITTEE (EVERSOURCEPAC),C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/ES/profile?p=ES,EVERSOURCE ENERGY,
C00102947,THE DAYTON POWER AND LIGHT COMPANY RESPONSIBLE CITIZENSHIP FUND,C,Electric Utility,Fossil Fuels,https://www.aes-ohio.com/corporate-information,,
C00103549,PARSONS CORPORATION POLITICAL ACTION COMMITTEE,C,,Defense,https://www.parsons.com/products/,PARSONS CORPORATION,
C00104083,RITE AID CORPORATION PAC,C,,Health Care,https://finance.yahoo.com/quote/RAD/profile?p=RAD,RITE AID CORPORATION,
C00104109,ARCELORMITTAL SALES AND ADMINISTRATION LLC PAC (ARCELORMITTAL PAC),C,,Steel,https://usa.arcelormittal.com/,ARCELORMITTAL SALES AND ADMINISTRATION LLC,
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,C,,Banking ,,JPMORGAN CHASE & CO. PAC,
C00104687,AO SMITH CORPORATION POLITICAL ACTION COMMITTEE (AOSPAC),C,,Machinery,https://finance.yahoo.com/quote/AOS/profile?p=AOS,A. O. SMITH CORPORATION,
C00104802,DELTA AIR LINES PAC,C,Airline,Travel & Leisure,https://finance.yahoo.com/quote/DAL/profile?p=DAL,MONROE ENERGY LLC FUELING THE CLIMB POLITICAL ACTION COMMITTEE,
C00107300,AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC),C,Airline,Travel & Leisure,https://finance.yahoo.com/quote/AAL/profile?p=AAL,AMERICAN AIRLINES INC.,
C00107771,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC),C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/XEL/profile?p=XEL,XCEL ENERGY,
C00108035,MCKESSON CORPORATION EMPLOYEES POLITICAL FUND,C,Pharmaceutical,Health Care,https://www.mckesson.com/About-McKesson/Businesses/McKesson-Pharmaceutical/,MCKESSON CORPORATION,
C00108209,"DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC",C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/D/profile?p=D,"DOMINION ENERGY, INC.",
C00109017,AT&T INC./WARNERMEDIA LLC FEDERAL POLITICAL ACTION COMMITTEE (AT&T/WARNERMEDIA FEDERAL PAC),C,Telecom,Big Tech,https://finance.yahoo.com/quote/T/profile?p=T&guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAISxSrKdm-U2cMxB6s40xXBCs1NfirNi1Vg1DaLidgrHH2eq1R9gN8CBLU9cooAhzBXItcq-VS7TUaLv6mG6OgwwoA4HDl0xVKfp79Xb6DBggkR6sbqNOwSdnH7vmiGVBwUS-DSfEK3JvIBgEK1TYeygJ1UtBaBuYu_sulBMNR7a,AT&T INC.,
C00109165,LOUISIANA-PACIFIC CORP FEDERAL PAC,C,,Manufacturing,https://finance.yahoo.com/quote/LPX/profile?p=LPX,LOUISIANA-PACIFIC CORPORATION,
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/VLO/profile?p=VLO,VALERO ENERGY CORPORATION,
C00110262,BRUNSWICK CORPORATION GOOD GOVERNMENT FUND,C,,Travel & Leisure,https://www.brunswick.com/our-brands,BRUNSWICK CORPORATION,
C00110478,PEABODY ENERGY CORPORATION POLITICAL ACTION COMMITTEE  (PEABODY PAC),C,Coal,Fossil Fuels,https://www.peabodyenergy.com/,PEABODY ENERGY CORPORATION,
C00110577,"LINCOLN NATIONAL CORPORATION POLITICAL ACTION COMMITTEE (AKA LINCOLN FINANCIAL GROUP POLITICAL ACTION COMMITTEE, LFGPAC)",C,Insurance,Wall Street,https://finance.yahoo.com/quote/LNC/profile?p=LNC,LINCOLN NATIONAL CORPORATION,
C00111104,THE NEWHALL LAND AND FARMING COMPANY POLITICAL ACTION COMMITTEE,C,,Real Estate,https://www.linkedin.com/company/newhall-land,THE NEWHALL LAND AND FARMING COMPANY,
C00111310,EVERGY EMPLOYEE POWERPAC,C,Electric Utility,Fossil Fuels,https://finance.yahoo.com/quote/EVRG/profile?p=EVRG,EVERGY AND ITS SUBSIDIARIES,
C00111559,CREDIT SUISSE SECURITIES (USA) LLC POLITICAL ACTION COMMITTEE,C,,Wall Street,https://finance.yahoo.com/quote/CS/profile?p=CS,CREDIT SUISSE SECURITIES (USA) LLC,
C00111880,CEMEX INC. EMPLOYEES PAC,C,,Construction,https://finance.yahoo.com/quote/CX/profile?p=CX,,
C00112896,CONOCOPHILLIPS SPIRIT PAC,C,Oil/Gas,Fossil Fuels,https://finance.yahoo.com/quote/COP/profile?p=COP,CONOCOPHILLIPS,
C00113159,EASTMANPAC-POLITICAL ACTION COMMITTEE OF EASTMAN CHEMICAL COMPANY,C,,Chemicals,https://finance.yahoo.com/quote/EMN/profile?p=EMN,EASTMAN CHEMICAL COMPANY,
C00113753,JOHNSON CONTROLS INC. PAC,C,,Construction,https://finance.yahoo.com/quote/JCI/profile?p=JCI,,
